familyId,bucket,priority,datasetCount,distinctSqlCount,moduleGuess,reportNames,datasetNames,coreTables,params,hasNonSelectRiskCount,hasFanruanMacroCount,hasDynamicParameterCount,reason
family_042,metric_catalog,medium,14,6,cross_module,圆模事业部完工及时率 | 当月入库明细 | 涂布事业部完工及时率 | 维修完工及时率 | 圆模事业部完工及时率-按完工 | 圆模维修完工及时率 | 圆模完工及时率 | 平模事业部完工及时率,data1 | ds1,Erp.JobHead | Erp.PartTran,MON | a | b | date1 | date2,0,14,14,完工及时率/入库明细混合，及时率入指标；入库明细可后续拆模板。
family_048,unusable_noise,none,13,1,unknown,折线-面积组合图 | 柱形-折线三维组合图 | 柱形-折线堆积组合图 | 柱形-折线组合图 | 柱形-面积堆积组合图 | 坐标轴交互 | 提示点组合图 | DoubleFigure,ds1,,,0,0,0,图表示例，产品演示表，无 ERP coreTables，不用。
family_049,metric_catalog,medium,12,7,purchase,财务采购管理看板 | 采购中心管理看板,每月采购金额 | 采购员采购情况 | 供应商采购金额 | 多维度分析 | 每月采购情况 | 供应商数量,Erp.POHeader | Erp.PurAgent | Erp.PurTerms | Erp.Vendor,cgy,0,6,6,采购管理看板/月采购金额/采购员采购情况，适合采购金额指标。
family_050,template_candidate,high,12,5,inventory,计量泵组 | 液压站发货看板,预装区库存 | 计量泵库存 | 计量泵库存倒序 | 液压站库存 | 液压站库存倒序,Erp.Part | Erp.PartBin | Erp.PartClass | Erp.PartWhse | Erp.ProdGrup | Erp.Warehse | Erp.WhseBin,,0,0,0,库存 family，结构稳定无宏无动态参数，优先抽库存查询模板。
family_051,metric_catalog,medium,12,1,purchase,总厂采购结算审核单加工费 | 精艺采购结算审核单 | 总厂采购结算审核单加工费 - 发王旭 | 对账单 加是否开票 | 总厂采购结算审核单加工费 - 加是否开票 | 采购结算明细 | 总厂采购收货单 | 总厂采购研发结算审核单加工费,加工费,Erp.POHeader | Erp.POMisc | Erp.PurAgent,,0,0,0,采购结算加工费/POMisc，金额类结算口径，适合指标/结算明细模板草稿但不作为通用模糊查询首批。
family_053,metric_catalog,medium,11,10,finance,费用统计-圆模 | 费用统计-平模+配件 | 费用统计-涂布 | 供应商余额表 | 客户余额表 | 供应商往来明细账 | 供应商往来明细账1 | 客户往来明细账,ds1 | 明细账追踪 | 余额,Erp.COASegValues | Erp.GLAcctDisp | Erp.GLJrnDtl,Period1 | Period2 | SegmentDesc | edate | sdate | 供应商 | 公司 | 客户 | 开始日期 | 总账 | 描述 | 科目代码 | 科目名称 | 结束日期,0,11,11,财务费用/往来/科目余额，财务口径，先沉淀指标/口径。
family_057,metric_catalog,high,10,10,cross_module,配件完工及时率 | 配件完工及时率-年月 | 配件完工及时率1 | 配件事业部完工及时率1(旧) | 配件完工及时率 - 副本,data | sum2 | 每个月完工数量,Erp.JobHead | Erp.JobOper | Erp.JobProd | Erp.OrderDtl | Erp.OrderHed | Erp.OrderRel | Erp.PODetail | Erp.Part | Erp.Partmtl | Erp.ProdGrup | Erp.RcvDtl | Erp.SalesCat | Erp.ShipDtl | Erp.ShipHead | Erp.UserComp,a | b | end | enddate | month1 | start | startdate | year1,10,9,10,配件完工及时率，临时表多语句，必须做指标口径，不直接模板化。
family_059,metric_catalog,high,10,6,cross_module,成本数据表 | 成本数据表1 | 成本数据表 - 副本,ds1 | ds2,Erp.JobHead | Erp.JobOper | Erp.LaborDtl | Erp.OrderDtl | Erp.OrderHed | Erp.Part | Erp.PartClass | Erp.PartTran | Erp.ProdGrup | Erp.Qimorate | dbo.QiMoJob | dbo.QiMoJob_Exception,Company | begindate | comboBox0 | enddate | 开始时间 | 结束时间,0,10,10,成本数据表，复杂成本核算口径，不能直接模板化，进入业务指标/成本口径。
family_060,usable_reference_then_template,medium,10,6,production,打光环节模头待加工数据看板 | 电镀厂模头待加工数据看板 | 质量分析 | 侧板每日质检明细 | 电镀厂模头待加工数据分析,ds1 | 完工量 | 侧板库存,Erp.EmpBasic | Erp.JobAsmbl | Erp.JobHead | Erp.JobMtl | Erp.JobOpDtl | Erp.JobOper | Erp.LaborDtl | Erp.OpMaster | Erp.ResourceGroup,完工日期大于 | 完工日期小于 | 物料编号,0,1,1,待加工/完工量/质检，看板类生产统计，可参考后抽模板。
family_061,metric_catalog,medium,10,5,production,生产部量化 | 各班组完工记录分析  | Mes数据分析平台 | Mes表格单独数据纠错 | 任务甘特图 | 各班组完工记录分析  - 副本 | 每日任务,labordtl | 效率数据,PUB.LaborDtl | PUB.ResourceGroup,加工部门 | 提交日期大于 | 提交日期小于,0,4,4,生产部量化/效率数据，工时效率口径，先做指标。
family_062,template_candidate,high,10,3,purchase,到货跟踪表 | 到货跟踪明细表,ds1 | ds2 | 七天内 | 两天内,Erp.PODetail | Erp.POHeader | Erp.PORel | Erp.PurAgent | Erp.RcvDtl | Erp.Vendor,七天将延期 | 三天将延期 | 两天将延期 | 将延期 | 状态 | 类别 | 采购员,0,10,10,到货跟踪/延期跟踪，采购 PO+PORel+RcvDtl，适合优先抽采购到货/延期模板。
family_066,metric_catalog,medium,10,1,unknown,事业部成本费用 | 售后提成测算 | 提成测算-备份0724 | 提成测算-外贸 | 提成测算 | 提成测算1.1 | 提成测算2.0 | 提成测算2026,ds2,Erp.QiMoDanJia,Month | Year,0,0,10,事业部成本费用/提成测算，财务/提成口径，不做普通模板。
family_067,unusable_noise,none,10,1,unknown,Accumulative_1 | Accumulative_2 | Accumulative_4 | ConditionsSummary | PeriodChain | 同期比 | 月报与年报 | 条件汇总,ds1,,,0,0,0,Accumulative/同期比示例表订单，非 ERP coreTables，不用。
family_074,metric_catalog,medium,9,8,cross_module,各班组未完工订单汇总 | 各班组未完工订单汇总1 | 各班组订单汇总2025 | 各班组订单汇总 | 配件完工及时率-年月 | 配件完工及时率 | 配件完工及时率1,sum | data | data1 | ds1,Erp.JobHead | Erp.JobOper | Erp.JobProd | Erp.OrderDtl | Erp.OrderHed | Erp.OrderRel | Erp.Part | Erp.ProdGrup | Erp.SalesCat | Erp.UserComp,a | a1 | b | end | enddate | ky | month1 | month2 | start | startdate | year1 | 班组,9,9,9,班组订单汇总/及时率，临时表多语句，沉淀指标口径。
family_075,usable_reference_then_template,medium,9,7,production,澄江报工明细表(赵相) | 澄江报工明细表(陈丹) | 澄江报工明细表(飞刀) | 澄江加工中心报工详细记录(聂工) | 澄江报工明细表(加工中心) | 澄江报工明细表(车床),labordtl,Erp.Cjcc_yggz | Erp.EmpBasic | Erp.JCDept | Erp.JobAsmbl | Erp.JobHead | Erp.JobMtl | Erp.JobOper | Erp.LaborDtl | Erp.OpMaster | Erp.ResourceGroup | dbo.QiMoRate,a | b | c | time1 | time2 | 产品编号 | 工单编号 | 工序 | 工序部门 | 开始日期大于 | 开始日期小于 | 报工人员 | 要求完工日期大于 | 要求完工日期小于 | 资源群组 | 部门,1,9,9,澄江报工明细，SQL有明细价值，但含工资相关注释/自定义表，先参考后整理报工明细模板。
family_076,template_candidate,high,9,7,cross_module,工单物料需求 | 模体料需求计划 | 缺料明细 | TEST | 未来需求,发货通知 | 总需求来 | 未来需求审核,Erp.JobHead | Erp.JobMtl | Erp.Part | Erp.PartClass | Erp.PartWhse,交期止 | 交期起 | 物料编号 | 要求完工时间开始 | 要求完工时间结束,0,8,8,工单物料需求/缺料明细，JobMtl+JobHead+PartWhse，适合优先抽缺料/物料需求模板。
family_077,metric_catalog,medium,9,6,cross_module,圆模事业部完工及时率1 | 平模事业部完工及时率1 | 涂布事业部完工及时率1 | 配件事业部完工及时率1 | 产品完工未报工序督导,每个月完工数量 | 完工明细 | ds1,Erp.EmpBasic | Erp.JobHead | Erp.JobOper | Erp.JobProd | Erp.LaborDtl | Erp.OrderDtl | Erp.OrderHed | Erp.Part,产品编号 | 工单编号 | 开始日期 | 结束日期 | 订单编号,4,1,1,完工及时率/完工明细混合，及时率入指标，明细另拆。
family_078,usable_reference_then_template,medium,9,6,cross_module,星空 | 粒子,每月完工量 | 今日完工量 | 当月每日完工量,Erp.JobHead | Erp.JobOper | Erp.JobProd | Erp.LaborDtl | Erp.OrderHed,,0,0,0,生产/销售跨模块看板类，需看具体 SQL 后作为参考。
family_079,needs_split_or_low_value,low,9,4,unknown,生产用工单信息表 | 生产用工单信息表1 | 年度物料采购领用表 | 供应商分析报表-外协 | 供应商分析报表,ds3 | ds2 | 细分,Erp.AnalysisCd,,0,0,0,仅 AnalysisCd，family 名混入生产用工单/采购领用，聚类疑似过粗，需拆分。
family_080,template_candidate_after_schema_mapping,high,9,4,unknown,产品报价 | 产品配置1 | 产品购销合同 | 产品配置,ds2 | ds3,JCJDY.dbo.ProductQuotation,ContractNo,0,7,7,产品报价/配置，JCJDY 外部库，和 family_008 可合并成报价配置模板。
family_081,metric_catalog,medium,9,1,cross_module,未来产能分析 | 计量泵未来产能分析（未集成） | 澄江发货看板 | 物流费用分析 | 涂布未来交付量统计 | 高端平模头,每月完工量,PUB.JobAsmbl | PUB.JobHead | PUB.JobOper | PUB.JobProd | PUB.LaborDtl | PUB.OrderDtl | PUB.OrderHed | PUB.OrderRel | PUB.Part,,0,0,0,未来产能/发货看板，统计/看板口径，先指标。
family_082,usable_reference_then_template,medium,9,1,sales,未来产能分析 | 计量泵未来产能分析（未集成） | 澄江发货看板 | 物流费用分析 | 涂布未来交付量统计 | 高端平模头,每月下单量,PUB.OrderDtl | PUB.OrderHed | PUB.Part | PUB.ProdGrup,,0,0,0,PUB 销售订单+Part，未来产能/发货参考，需 schema 映射。
family_086,template_candidate,high,8,8,cross_module,每月研发料费分析 | 研发工单BOM完整性查询 | 研发物料发料清单 | 每月研发加工费分析 | 研发工单BOM加工费发放查询 | 研发工单BOM发放查询 | 研发工单物料发放情况查询,ds1,Erp.JobAsmbl | Erp.JobHead | Erp.JobMtl | Erp.PartTran | Erp.Project,date1 | 交易日期 | 产品编号 | 发放状态 | 工单关闭 | 工单编号 | 开始时间 | 结束时间 | 结束时间大于,0,6,6,研发工单BOM完整性/研发物料发料清单，JobMtl/JobHead/JobAsmbl，可抽研发物料/BOM检查模板。
family_087,metric_catalog,medium,8,8,unknown,圆模设计及时率 | 平模事业部设计及时率 | 涂布事业部设计及时率 | 配件事业部设计及时率,ds1 | 延期明细,JCJDY.dbo.DesignTimely,,0,0,0,设计及时率，外部表 JCJDY.dbo.DesignTimely，指标口径。
family_088,usable_reference_then_template,medium,8,4,sales,计量泵组 | 液压站发货看板,一周发货统计表 | 历史月发货量 | 液压站月发货量,Erp.Part | Erp.ProdGrup | Erp.ShipDtl | Erp.ShipHead,,0,0,0,ShipDtl/Part 发货相关，适合作为发货明细参考。
family_089,template_candidate,high,8,4,inventory,中国式库存记录 | 中国式库存记录增加消耗值 | 总厂配件仓中国式库存记录 呆滞品 | 澄江常备库存使用报表 | 中国式库存记录自动刷新 | 总厂配件仓中国式库存记录,各仓库,Erp.Part | Erp.PartBin | Erp.PartWhse,物料编号,0,7,7,库存/库龄/呆滞品，PartWhse/PartBin 结构清楚，可抽库存和呆滞库存模板。
family_090,metric_catalog,medium,8,3,purchase,刀具报表 | 刀具统计 | 控本统计 | 采购控本统计 | 采购控本统计1 | 采购汇总统计,统计 | ds1 | 总计,Erp.PODetail | Erp.POHeader | Erp.Part | Erp.ProdGrup | Erp.PurAgent | Erp.Vendor,下单日期从 | 下单日期到 | 类型,0,8,8,刀具报表/控本统计，采购+刀具+成本控制，先指标/分析口径。
family_091,metric_catalog,medium,8,3,cross_module,平模完工及时率 | 平模完工及时率1 | 维修完工及时率 | 高端平模完工及时率 | 高端平模维修及时率 | 高端平模维修及时率1 | 高端平模涂布完工及时率 | 高端平模涂布维修及时率,data1,Erp.JobHead | Erp.Part | Erp.PartRev | Erp.PartTran,a | b | date1 | date2,0,8,8,完工及时率，指标口径。
family_092,template_candidate,medium,8,3,unknown,报工明细 | 总厂圆模详细记录(聂工) | 维修组报工明细 | 澄江报工明细 | 报工工时 | 澄江报工明细-精艺 | 报工明细 - 分车间,ds2 | 工序,Erp.ResourceGroup,,0,0,0,报工明细/资源群组，需补表关系后可做报工基础明细或参数辅助。
family_093,metric_catalog,medium,8,2,sales,提成测算-备份0724 | 提成测算-外贸 | 提成测算 | 提成测算1.1 | 提成测算2.0 | 提成测算2026 | 提成测算3.0 | 提成测算备份,ds3 | ds4,Erp.OrderHed,,0,0,0,提成测算，指标/测算口径。
family_094,unusable_noise,none,8,1,unknown,Chain | Compare | Proportion | Rankings | 占比 | 差值 | 排名 | 环比,ds1,,,0,0,0,Chain/Compare/Proportion 类示例，缺 ERP coreTables，不用。
family_097,unusable_noise,none,8,1,unknown,条形图 | 三维堆积条形图 | 三维条形图 | 三维条形图（横向） | 堆积条形图 | 条形图轴逆序 | 百分比堆积条形图,ds1,,,0,0,0,条形图示例，缺 ERP coreTables，不用。
family_098,metric_catalog,medium,7,7,cross_module,产成品库龄表 | 产成品库龄明细表 | 每周产成品库龄表 | 每周产成品明细表,ds1 | ds2 | ds3,Erp.JobProd | Erp.OrderDtl | Erp.OrderHed | Erp.Part | Erp.PartBin | Erp.PartTran | Erp.ProdGrup | Erp.UserFile | Erp.Warehse | Erp.WhseBin,下单人 | 库龄 | 类型 | 群组,2,4,4,产成品库龄/库龄明细，适合库存库龄指标，明细可后续拆。
family_099,metric_catalog,medium,7,7,cross_module,提成测算-外贸 | 提成测算2026 | 提成测算-备份0724 | 提成测算 | 提成测算1.1,ds1 | ds5,Erp.Customer | Erp.OrderDtl | Erp.OrderHed | Erp.Part | Erp.PartClass | Erp.PartTran | Erp.ProdGrup | Erp.QiMoDanJia,Cust | Month | Year | edate | sdate | thedate | thsdate | 事业部 | 人员 | 是否入库 | 是否提货 | 是否特殊 | 项目负责人,7,7,7,提成测算，临时表/多语句，指标口径。
family_100,metric_catalog,high,7,6,cross_module,客户订单低毛利清单-圆模 | 客户订单低毛利清单-平模+配件 | 客户订单低毛利清单-涂布 | 客户订单毛利清单-圆模 | 客户订单毛利清单-平模+配件 | 客户订单毛利清单-涂布 | 客户订单毛利清单-配件,ds1,Erp.Customer | Erp.JobMtl | Erp.JobOper | Erp.JobProd | Erp.LaborDtl | Erp.OrderDtl | Erp.OrderHed | Erp.Part | Erp.PartClass | Erp.PartTran | Erp.ProdGrup | Erp.QiMoDanJia | dbo.QiMoDanJia,Company | Month | Name | PartNum | Year | lx | order | ordertype | qz | 年份 | 开始时间 | 结束时间 | 项目负责人,7,7,7,客户订单低毛利清单，毛利/成本指标口径，不直接模板化。
